num_auto,bw_plate_tx,bw_plate_rx,ocr_txt_tx,bits_equal,bit_errors,bits_tx,bits_rx
1,dataset_yolo/autos_bw/auto001.png,data-cable/autos_bw/auto001_rep01.png,KOZ.808,True,0,[0 0 1 ... 0 0 0],[0 0 1 ... 0 0 0]
1,dataset_yolo/autos_bw/auto001.png,data-cable/autos_bw/auto001_rep02.png,KOZ.808,True,0,[0 0 1 ... 0 0 0],[0 0 1 ... 0 0 0]
1,dataset_yolo/autos_bw/auto001.png,data-cable/autos_bw/auto001_rep03.png,KOZ.808,True,0,[0 0 1 ... 0 0 0],[0 0 1 ... 0 0 0]
1,dataset_yolo/autos_bw/auto001.png,data-cable/autos_bw/auto001_rep04.png,KOZ.808,True,0,[0 0 1 ... 0 0 0],[0 0 1 ... 0 0 0]
2,dataset_yolo/autos_bw/auto002.png,data-cable/autos_bw/auto002_rep01.png,MAU.096,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
2,dataset_yolo/autos_bw/auto002.png,data-cable/autos_bw/auto002_rep02.png,MAU.096,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
2,dataset_yolo/autos_bw/auto002.png,data-cable/autos_bw/auto002_rep03.png,MAU.096,False,439,[0 0 0 ... 0 0 0],[0 0 0 ... 1 1 1]
2,dataset_yolo/autos_bw/auto002.png,data-cable/autos_bw/auto002_rep04.png,MAU.096,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
2,dataset_yolo/autos_bw/auto002.png,data-cable/autos_bw/auto002_rep05.png,MAU.096,False,14,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
3,dataset_yolo/autos_bw/auto003.png,data-cable/autos_bw/auto003_rep01.png,URO 387,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
3,dataset_yolo/autos_bw/auto003.png,data-cable/autos_bw/auto003_rep02.png,URO 387,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
3,dataset_yolo/autos_bw/auto003.png,data-cable/autos_bw/auto003_rep03.png,URO 387,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
3,dataset_yolo/autos_bw/auto003.png,data-cable/autos_bw/auto003_rep04.png,URO 387,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
3,dataset_yolo/autos_bw/auto003.png,data-cable/autos_bw/auto003_rep05.png,URO 387,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
3,dataset_yolo/autos_bw/auto003.png,data-cable/autos_bw/auto003_rep06.png,URO 387,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
4,dataset_yolo/autos_bw/auto004.png,data-cable/autos_bw/auto004_rep01.png,RLO 6561,True,0,[1 0 1 ... 0 0 0],[1 0 1 ... 0 0 0]
4,dataset_yolo/autos_bw/auto004.png,data-cable/autos_bw/auto004_rep02.png,RLO 6561,True,0,[1 0 1 ... 0 0 0],[1 0 1 ... 0 0 0]
4,dataset_yolo/autos_bw/auto004.png,data-cable/autos_bw/auto004_rep03.png,RLO 6561,True,0,[1 0 1 ... 0 0 0],[1 0 1 ... 0 0 0]
4,dataset_yolo/autos_bw/auto004.png,data-cable/autos_bw/auto004_rep04.png,RLO 6561,True,0,[1 0 1 ... 0 0 0],[1 0 1 ... 0 0 0]
4,dataset_yolo/autos_bw/auto004.png,data-cable/autos_bw/auto004_rep05.png,RLO 6561,True,0,[1 0 1 ... 0 0 0],[1 0 1 ... 0 0 0]
4,dataset_yolo/autos_bw/auto004.png,data-cable/autos_bw/auto004_rep06.png,RLO 6561,True,0,[1 0 1 ... 0 0 0],[1 0 1 ... 0 0 0]
4,dataset_yolo/autos_bw/auto004.png,data-cable/autos_bw/auto004_rep07.png,RLO 6561,False,5,[1 0 1 ... 0 0 0],[1 0 1 ... 0 0 0]
5,dataset_yolo/autos_bw/auto005.png,data-cable/autos_bw/auto005_rep01.png,PCN 831,False,10,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
5,dataset_yolo/autos_bw/auto005.png,data-cable/autos_bw/auto005_rep02.png,PCN 831,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
5,dataset_yolo/autos_bw/auto005.png,data-cable/autos_bw/auto005_rep03.png,PCN 831,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
5,dataset_yolo/autos_bw/auto005.png,data-cable/autos_bw/auto005_rep04.png,PCN 831,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
6,dataset_yolo/autos_bw/auto006.png,data-cable/autos_bw/auto006_rep01.png,FNU 056,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
6,dataset_yolo/autos_bw/auto006.png,data-cable/autos_bw/auto006_rep02.png,FNU 056,False,18,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
6,dataset_yolo/autos_bw/auto006.png,data-cable/autos_bw/auto006_rep03.png,FNU 056,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
7,dataset_yolo/autos_bw/auto007.png,data-cable/autos_bw/auto007_rep01.png,BNH 4351,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
7,dataset_yolo/autos_bw/auto007.png,data-cable/autos_bw/auto007_rep02.png,BNH 4351,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
7,dataset_yolo/autos_bw/auto007.png,data-cable/autos_bw/auto007_rep03.png,BNH 4351,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
7,dataset_yolo/autos_bw/auto007.png,data-cable/autos_bw/auto007_rep04.png,BNH 4351,False,15,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
7,dataset_yolo/autos_bw/auto007.png,data-cable/autos_bw/auto007_rep05.png,BNH 4351,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
7,dataset_yolo/autos_bw/auto007.png,data-cable/autos_bw/auto007_rep06.png,BNH 4351,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
8,dataset_yolo/autos_bw/auto008.png,data-cable/autos_bw/auto008_rep01.png,IIv 310,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
8,dataset_yolo/autos_bw/auto008.png,data-cable/autos_bw/auto008_rep02.png,IIv 310,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
8,dataset_yolo/autos_bw/auto008.png,data-cable/autos_bw/auto008_rep03.png,IIv 310,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
8,dataset_yolo/autos_bw/auto008.png,data-cable/autos_bw/auto008_rep04.png,IIv 310,False,744,[0 0 0 ... 1 1 1],[0 0 0 ... 0 0 0]
8,dataset_yolo/autos_bw/auto008.png,data-cable/autos_bw/auto008_rep05.png,IIv 310,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
